trayID,species,spID,I,n,trayID_consec,day,planter,plate,domeID,side,x,x1,y,temp_PM,temp_AM,richness,SD,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,I_radish,I_arugula,I_basil,I_red_rom,I_green_rom,I_butter,notes,n_others,n_others2,temp_PM_z,richness_z,n_others_z,n_others2_z,n_allP.na_z,n_radish_zsq,n_arugula_zsq,n_basil_zsq,n_red_rom_zsq,n_green_rom_zsq,n_butter_zsq,n_radish_p,n_arugula_p,n_basil_p,n_red_rom_p,n_green_rom_p,n_butter_p
27,radish,1,224,224,25,1,CE,1,90,R,9,9.3,10,22.5,24.3,1,0.5,-0,238,236,236,236,0,0,0,0,0,236,0,0,0,0,0,NA,0,0,-0.8712235387459067,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.168300250581455,0.9034557625042718,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
28,radish,1,196,226,26,2,CT,5,20,L,2,2,3,26.7,23.5,1,0.5,-0,238,238,208,238,0,0,0,0,0,208,0,0,0,0,0,NA,0,0,0.38876990774485093,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.18506166167605534,0.9101285656429091,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
29,radish,1,177,226,27,3,CT,8,45,L,9,9,5,25.9,23.9,1,0.5,-0,238,238,189,238,0,0,0,0,0,189,0,0,0,0,0,PHOTO,0,0,0.14877115603232538,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.18506166167605534,0.9101285656429091,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
30,radish,1,225,225,28,1,CE,3,32,R,5,5.3,4,27,24.1,1,0.5,-0,238,237,237,237,0,0,0,0,0,237,0,0,0,0,0,NA,0,0,0.4787694396370481,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.17668095612875517,0.906795683496277,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
31,green_rom,5,2,226,29,2,CT,6,8,L,8,8,1,26.6,23.8,1,0.5,-0,238,238,8,0,0,0,0,238,0,0,0,0,0,8,0,QL DIDN'T WATER ON 2/21,238,238,0.3587700637807859,-0.5202291196081568,0.5401814804262081,0.7789815431322904,0.18506166167605534,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,1.5165698260799754,-0.34295888379045403,0,0,0,0,1,0
32,butter,6,3,226,30,3,CT,8,85,L,4,4,10,23.1,25.6,1,0.5,-0,238,238,14,0,0,0,0,0,238,0,0,0,0,0,14,NA,238,238,-0.6912244749615124,-0.5202291196081568,0.5401814804262081,0.7789815431322904,0.18506166167605534,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,1.606042386913088,0,0,0,0,0,1
34,arugula,2,81,223,31,1,CE,1,22,R,4,4.3,3,27.6,23,1,0.5,-0,238,235,93,0,235,0,0,0,0,0,93,0,0,0,0,NA,235,0,0.6587685034214426,-0.5202291196081568,0.5219251328763929,-0.6127213033294283,0.15991954503415481,-0.6746551409302689,1.2016184374056,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0,1,0,0,0,0
35,basil,3,6,215,32,2,CT,5,24,R,6,6.3,3,26.4,22.8,1,0.5,-0,238,227,18,0,0,227,0,0,0,0,0,18,0,0,0,NA,227,227,0.2987703758526537,-0.5202291196081568,0.47324153941021907,0.7146591426655723,0.09287390065575342,-0.6746551409302689,-0.6102721561599711,1.435382637490736,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0,0,1,0,0,0
36,red_rom,4,2,225,33,3,CT,8,33,R,6,6.3,4,26,23.3,1,0.5,-0,238,237,12,0,0,0,237,0,0,0,0,0,12,0,0,NA,237,237,0.17877099999639148,-0.5202291196081568,0.5340960312429364,0.7731340521807706,0.17668095612875517,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,1.468645753124794,-0.3561175935032453,-0.34295888379045403,0,0,0,1,0,0
37,green_rom,5,1,226,34,1,CE,1,86,R,5,5.3,10,22.2,24,1,0.5,-0,238,238,11,0,0,0,0,238,0,0,0,0,0,11,0,NA,238,238,-0.961223070638104,-0.5202291196081568,0.5401814804262081,0.7789815431322904,0.18506166167605534,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,1.5165698260799754,-0.34295888379045403,0,0,0,0,1,0
38,butter,6,2,224,35,2,CT,5,84,L,3,3,10,23.2,25.6,1,0.5,-0,238,236,9,0,0,0,0,0,236,0,0,0,0,0,9,NA,236,236,-0.6612246309974473,-0.5202291196081568,0.5280105820596647,0.7672865612292508,0.168300250581455,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,1.5978360293247202,0,0,0,0,0,1
39,butter,6,4,226,36,3,CT,8,62,L,8,8,7,24.1,23,1,0.5,-0,238,238,11,0,0,0,0,0,238,0,0,0,0,0,11,NA,238,238,-0.3912260353208557,-0.5202291196081568,0.5401814804262081,0.7789815431322904,0.18506166167605534,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,1.606042386913088,0,0,0,0,0,1
40,arugula,2,0,226,37,1,CE,1,55,L,1,1,7,26.5,24.4,1,0.5,-0,238,238,0,0,238,0,0,0,0,0,0,0,0,0,0,NA,238,0,0.3287702198167198,-0.5202291196081568,0.5401814804262081,-0.6127213033294283,0.18506166167605534,-0.6746551409302689,1.2131470198472292,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0,1,0,0,0,0
41,arugula,2,16,60,38,2,KF,5,51,R,6,6.3,6,24.7,24,2,0.5,0.6809538397553379,154,152,59,88,64,0,0,0,0,39,20,0,0,0,0,A TOOTHPICK MISSING,64,0,-0.2112269715364624,-0.2675041779803306,-0.518686677463073,-0.6127213033294283,-0.5356790153917597,0.28900269023020514,0.33528552342745815,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5789473684210527,0.42105263157894735,0,0,0,0
