ID,x,y,trayID,richness,rep,spID,state0_v2,state_final,species,tray_type
ID49,15.845,13.51992268,2,1,2,1,S,S,radish,regular
ID50,18.645,13.51992268,2,1,2,1,S,S,radish,regular
ID51,21.445,13.51992268,2,1,2,1,S,S,radish,regular
ID52,0.445,15.94479381,2,1,2,1,S,I,radish,regular
ID53,3.245,15.94479381,2,1,2,1,S,I,radish,regular
ID54,6.045,15.94479381,2,1,2,1,S,I,radish,regular
ID55,8.845,15.94479381,2,1,2,1,S,I,radish,regular
ID56,11.645,15.94479381,2,1,2,1,S,S,radish,regular
ID57,14.445,15.94479381,2,1,2,1,S,S,radish,regular
ID58,17.245,15.94479381,2,1,2,1,S,S,radish,regular
ID59,20.045,15.94479381,2,1,2,1,S,S,radish,regular
ID60,22.845,15.94479381,2,1,2,1,S,I,radish,regular
ID61,1.845,18.36966494,2,1,2,1,S,I,radish,regular
ID62,4.645,18.36966494,2,1,2,1,C,I,radish,regular
ID63,7.445,18.36966494,2,1,2,1,S,I,radish,regular
ID64,10.245,18.36966494,2,1,2,1,S,I,radish,regular
ID65,13.045,18.36966494,2,1,2,1,S,S,radish,regular
ID66,15.845,18.36966494,2,1,2,1,S,S,radish,regular
ID67,18.645,18.36966494,2,1,2,1,S,S,radish,regular
ID68,21.445,18.36966494,2,1,2,1,S,I,radish,regular
ID69,0.445,20.79453607,2,1,2,1,S,I,radish,regular
ID70,3.245,20.79453607,2,1,2,1,S,I,radish,regular
ID71,6.045,20.79453607,2,1,2,1,S,I,radish,regular
ID72,8.845,20.79453607,2,1,2,1,S,I,radish,regular
ID73,11.645,20.79453607,2,1,2,1,C,I,radish,regular
ID74,14.445,20.79453607,2,1,2,1,C,S,radish,regular
ID75,17.245,20.79453607,2,1,2,1,S,I,radish,regular
ID76,20.045,20.79453607,2,1,2,1,C,I,radish,regular
ID77,22.845,20.79453607,2,1,2,1,C,I,radish,regular
ID78,1.845,23.2194072,2,1,2,1,S,I,radish,regular
ID79,4.645,23.2194072,2,1,2,1,S,S,radish,regular
ID80,7.445,23.2194072,2,1,2,1,S,I,radish,regular
ID81,10.245,23.2194072,2,1,2,1,S,S,radish,regular
ID82,13.045,23.2194072,2,1,2,1,S,S,radish,regular
ID83,15.845,23.2194072,2,1,2,1,S,S,radish,regular
ID84,18.645,23.2194072,2,1,2,1,S,S,radish,regular
ID85,21.445,23.2194072,2,1,2,1,S,S,radish,regular
ID1,0.445,1.395567025,3,1,3,1,C,I,radish,regular
ID2,3.245,1.395567025,3,1,3,1,S,I,radish,regular
ID3,6.045,1.395567025,3,1,3,1,S,S,radish,regular
ID4,8.845,1.395567025,3,1,3,1,S,S,radish,regular
ID5,11.645,1.395567025,3,1,3,1,S,S,radish,regular
ID6,14.445,1.395567025,3,1,3,1,S,I,radish,regular
ID7,17.245,1.395567025,3,1,3,1,S,S,radish,regular
ID8,20.045,1.395567025,3,1,3,1,S,S,radish,regular
ID9,22.845,1.395567025,3,1,3,1,S,S,radish,regular
ID10,1.845,3.820438156,3,1,3,1,S,S,radish,regular
ID11,4.645,3.820438156,3,1,3,1,S,NA,radish,regular
ID12,7.445,3.820438156,3,1,3,1,S,S,radish,regular
ID13,10.245,3.820438156,3,1,3,1,S,I,radish,regular
ID14,13.045,3.820438156,3,1,3,1,C,I,radish,regular
