trayID,day,planter,plate,domeID,side,Loc_x,Loc_y,temp_PM,richness,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,tray_type
57,3,CE,8,78,R,6.3,9,23.5,2,0.68095384,154,154,14,0,0,0,89,65,0,regular
58,1,KF,2,73,L,1,9,25.5,2,0.68095384,154,153,11,0,64,0,0,89,0,regular
59,2,KF,5,87,L,6,10,22.2,2,0.68095384,154,151,73,63,0,0,0,0,88,regular
60,3,CE,9,16,R,7.3,2,27,2,0.68095384,154,153,42,89,0,0,64,0,0,regular
61,1,KF,2,75,R,3.3,9,24,2,0.68095384,154,154,24,0,89,0,0,65,0,regular
62,2,KF,6,14,L,5,2,27,2,0.68095384,154,152,15,0,0,88,0,64,0,regular
63,3,CE,8,31,L,4,4,26.5,2,0.68095384,154,154,23,65,0,0,89,0,0,regular
64,1,CT,3,30,L,3,4,27.6,2,0.68034619,238,234,180,137,97,0,0,0,0,regular
65,2,CT,5,40,L,4,5,26.7,2,0.68034619,238,235,145,135,100,0,0,0,0,regular
66,3,CT,8,24,L,6,3,25.6,2,0.68034619,238,236,149,138,98,0,0,0,0,regular
67,1,CT,3,32,L,5,4,27,2,0.68034619,238,232,171,135,97,0,0,0,0,regular
68,2,CE,5,84,R,3.3,10,22.5,2,0.68034619,238,238,54,138,100,0,0,0,0,regular
69,3,CT,8,58,R,4.3,7,24.5,2,0.68034619,238,236,192,137,99,0,0,0,0,regular
70,1,KF,3,42,L,6,5,27,2,0.68034619,238,233,183,137,96,0,0,0,0,regular
71,2,CE,4,82,R,1.3,10,23,2,0.68034619,238,238,77,138,100,0,0,0,0,regular
72,3,CT,9,19,R,1.3,3,27.2,2,0.68034619,238,235,201,135,100,0,0,0,0,regular
73,1,KF,2,59,L,5,7,25.1,2,0.68034619,238,232,202,134,98,0,0,0,0,regular
74,2,CT,6,21,R,3.3,3,27,2,0.68034619,238,238,7,0,0,0,0,138,100,regular
75,3,CT,8,60,R,6.3,7,24.5,2,0.68034619,238,236,103,0,98,0,0,0,138,regular
76,1,CE,1,80,L,8,9,23.5,2,0.68034619,238,236,207,136,0,0,0,100,0,regular
77,2,CT,4,79,L,7,9,23.4,2,0.68034619,238,238,74,0,138,0,100,0,0,regular
78,3,KF,7,89,L,8,10,22.3,2,0.68034619,238,236,15,0,0,137,0,0,99,regular
79,1,KF,1,57,L,3,7,24.4,2,0.68034619,238,237,19,0,0,0,138,0,99,regular
80,2,CE,5,67,R,4.3,8,24,2,0.68034619,238,238,9,0,0,0,100,138,0,regular
81,3,KF,9,12,L,3,2,26.4,2,0.68034619,238,238,15,0,0,0,100,0,138,regular
82,1,CE,2,36,L,9,4,26,2,0.68034619,238,235,16,0,0,99,0,0,136,regular
83,2,CT,6,17,R,8.3,2,27.4,2,0.68034619,238,235,215,100,135,0,0,0,0,regular
84,3,CT,9,23,R,5.3,3,27,4,1.347502698,238,235,170,86,60,49,40,0,0,regular
85,1,LR,1,65,R,2.3,8,25,4,1.239308861,238,233,195,111,58,38,26,0,0,augmented
86,2,LR,4,66,R,3.3,8,24,4,0.996122938,238,232,211,148,50,23,11,0,0,augmented
87,3,CT,8,78,L,6,9,23.5,4,0.576192671,238,233,220,195,30,6,2,0,0,augmented
88,1,LR,3,7,L,7,1,28.1,4,1.347502698,238,234,123,86,59,48,41,0,0,regular
89,2,CE,5,41,L,5,5,26.9,4,1.347502698,238,235,77,86,59,50,40,0,0,regular
90,3,KF,9,3,L,3,1,25.5,4,1.347502698,238,233,57,83,60,49,41,0,0,regular
91,1,KF,2,63,R,9.3,7,24.9,4,1.347502698,238,231,194,85,57,48,41,0,0,regular
92,2,CE,4,47,L,2,6,25.9,4,1.347502698,238,234,79,84,60,49,41,0,0,regular
93,3,KF,7,48,L,3,6,25.3,4,1.347502698,238,231,126,86,57,47,41,0,0,regular
94,1,LR,2,88,R,7.3,10,21.8,4,1.347502698,238,235,152,86,60,49,40,0,0,regular
95,2,KF,6,37,L,1,5,28.7,4,1.347502698,238,234,59,84,61,49,40,0,0,regular
